v1,v2
ham,Hey! There's veggie pizza... :/
ham,Yun buying... But school got offer 2000 plus only...
ham,You sure your neighbors didnt pick it up
ham,K. I will sent it again
ham,Well. Im computerless. Time to make some oreo truffles
ham,"Haha yeah I see that now, be there in a sec"
ham,I am not having her number sir
ham,Lol now I'm after that hot air balloon!
ham,Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow
ham,Msgs r not time pass.They silently say that I am thinking of U right now and also making U think of me at least 4 a moment. Gd nt.swt drms @Shesil
ham,"Yeah, we can probably swing by once my roommate finishes up with his girl"
spam,"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!"
ham,Happy new years melody!
ham,?? dun need to pick ur gf?
ham,Yay! You better not have told that to 5 other girls either.
ham,Horrible u eat macs eat until u forgot abt me already rite... U take so long 2 reply. I thk it's more toot than b4 so b prepared. Now wat shall i eat?
ham,"Did he say how fantastic I am by any chance, or anything need a bigger life lift as losing the will 2 live, do you think I would be the first person 2 die from N V Q? "
ham,Just nw i came to hme da..
ham,"I'm outside islands, head towards hard rock and you'll run into me"
ham,To day class is there are no class.
ham,I'm in chennai velachery:)
ham,You flippin your shit yet?
ham,"K give me a sec, breaking a  &lt;#&gt;  at cstore"
ham,Am i that much bad to avoid like this?
ham,"Yo, you around? Just got my car back"
ham,Annoying isn't it.
ham,"Goodmorning, Today i am late for  &lt;#&gt; min."
ham,There's no point hangin on to mr not right if he's not makin u happy
ham,All will come alive.better correct any good looking figure there itself..
ham,In that case I guess I'll see you at campus lodge
ham,We're done...
ham,Come to my home for one last time i wont do anything. Trust me.
ham,I was up all night too worrying about this appt. It's a shame we missed a girls night out with quizzes popcorn and you doing my hair.
spam,Sex up ur mobile with a FREE sexy pic of Jordan! Just text BABE to 88600. Then every wk get a sexy celeb! PocketBabe.co.uk 4 more pics. 16 ??3/wk 087016248
ham,Ok... C ya...
spam,You have 1 new voicemail. Please call 08719181503
ham,What he said is not the matter. My mind saying some other matter is there.
ham,"Al he does is moan at me if n e thin goes wrong its my fault&al de arguments r my fault&fed up of him of himso y bother? Hav 2go, thanx.xx"
ham,NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;
ham,Otherwise had part time job na-tuition..
ham,I know she called me
ham,"Me also da, i feel yesterday night  wait til 2day night dear."
ham,Thanks for understanding. I've been trying to tell sura that.
spam,WIN a year supply of CDs 4 a store of ur choice worth ??500 & enter our ??100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3
ham,The whole car appreciated the last two! Dad and are having a map reading semi argument but apart from that things are going ok. P.
spam,"As a SIM subscriber, you are selected to receive a Bonus! Get it delivered to your door, Txt the word OK to No: 88600 to claim. 150p/msg, EXP. 30Apr"
ham,I need you to be in my strong arms...
ham,Also maaaan are you missing out
ham,His bday real is in april .
ham,Guessin you ain't gonna be here before 9?
ham,Ok then i will come to ur home after half an hour
ham,"Yo, the game almost over? Want to go to walmart soon"
ham,"Yeah, probably but not sure. Ilol let u know, but personally I wuldnt bother, then again if ur goin to then I mite as well!!"
ham,I'll text now! All creepy like so he won't think that we forgot
ham,"that would be good ??_ I'll phone you tomo lunchtime, shall I, to organise something?"
spam,You have 1 new voicemail. Please call 08719181513.
ham,"Damn, can you make it tonight or do you want to just wait til tomorrow"
ham,K..k..i'm also fine:)when will you complete the course?
ham,"True. It is passable. And if you get a high score and apply for phd, you get 5years of salary. So it makes life easier."
spam,No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info
ham,Prakesh is there know.
ham,Teach me apps da. When you come to college.
ham,Rofl betta invest in some  anti aging products
ham,"sir, you will receive the account no another 1hr time. Sorry for the delay."
spam,Reply with your name and address and YOU WILL RECEIVE BY POST a weeks completely free accommodation at various global locations www.phb1.com ph:08700435505150p
ham,So ?_'ll be submitting da project tmr rite?
spam,FREE entry into our ??250 weekly comp just send the word ENTER to 84128 NOW. 18 T&C www.textcomp.com cust care 08712405020.
ham,Jus ans me lar. U'll noe later.
ham,I want to send something that can sell fast.  &lt;#&gt; k is not easy money.
ham,have got * few things to do. may be in * pub later.
ham,1's finish meeting call me.
ham,Lol ok. I'll snatch her purse too.
ham,"\Hello-/@drivby-:0quit edrunk sorry iff pthis makes no senrd-dnot no how ^ dancce 2 drum n basq!ihave fun 2nhite x ros xxxxxxx\"""""
spam,Check out this amazing real estate opportunity
ham,How much are we getting?
ham,Is ur paper in e morn or aft tmr?
ham,"Dear relieved of westonzoyland, all going to plan this end too!"
ham,Hope you are having a great new semester. Do wish you the very best. You are made for greatness.
ham,Oh yes I can speak txt 2 u no! Hmm. Did u get  email?
spam,"I want to show you the world, princess :) how about europe?"
ham,Nobody can decide where to eat and dad wants Chinese
ham,No shoot me. I'm in the docs waiting room. :/
ham,Now? I'm going out 4 dinner soon..
ham,Hello which the site to download songs its urgent pls
ham,"I do know what u mean,  is the king of not havin credit! I'm goin2bed now. Night night sweet! Only1more sleep! "
ham,Horrible gal. Me in sch doing some stuff. How come u got mc?
ham,"HI HUN! IM NOT COMIN 2NITE-TELL EVERY1 IM SORRY 4 ME, HOPE U AVA GOODTIME!OLI RANG MELNITE IFINK IT MITE B SORTED,BUT IL EXPLAIN EVERYTHIN ON MON.L8RS.x"
spam,Please CALL 08712402779 immediately as there is an urgent message waiting for you
ham,Yeah like if it goes like it did with my friends imma flip my shit in like half an hour
ham,Mum say we wan to go then go... Then she can shun bian watch da glass exhibition... 
ham,What your plan for pongal?
ham,Just wait till end of march when el nino gets himself. Oh.
ham,"Not yet chikku..going to room nw, i'm in bus.."
ham,Am also doing in cbe only. But have to pay.
ham,Honey boo I'm missing u.
ham,"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us"
ham,"Yo, I'm at my parents' gettin cash. Good news: we picked up a downstem"
ham,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy!"
spam,"Hungry gay guys feeling hungry and up 4 it, now. Call 08718730555 just 10p/min. To stop texts call 08712460324 (10p/min)"
ham,Ok. No wahala. Just remember that a friend in need ...
ham,I will see in half an hour
ham,"Im in inperialmusic listening2the weirdest track ever by??leafcutter john??-sounds like insects being molested&someone plumbing,remixed by evil men on acid!"
ham,\Hey sorry I didntgive ya a a bellearlier hunny
ham,SERIOUSLY. TELL HER THOSE EXACT WORDS RIGHT NOW.
spam,Can U get 2 phone NOW? I wanna chat 2 set up meet Call me NOW on 09096102316 U can cum here 2moro Luv JANE xx Calls??1/minmoremobsEMSPOBox45PO139WA
ham,"Tee hee. Off to lecture, cheery bye bye."
ham,"Sorry chikku, my cell got some problem thts y i was nt able to reply u or msg u.."
ham,If you still havent collected the dough pls let me know so i can go to the place i sent it to get the control number
spam,Exclusive Offer Just for You: Free Membership Upgrade!
spam,network operator. The service is free. For T & C's visit 80488.biz
ham,Let me know how to contact you. I've you settled in a room. Lets know you are ok.
ham,Wot u up 2 u weirdo?
ham,Can do lor...
ham,Dont put your phone on silent mode ok
ham,Can i meet ?_ at 5.. As 4 where depends on where ?_ wan 2 in lor..
ham,Waiting 4 my tv show 2 start lor... U leh still busy doing ur report?
ham,Oh ho. Is this the first time u use these type of words
ham,Am I the only one who doesn't stalk profiles?
ham,"Ever green quote ever told by Jerry in cartoon \A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt"""
ham,Yes i thought so. Thanks.
ham,But if she.s drinkin i'm ok.
ham,"Just wondering, the others just took off"
ham,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng"
ham,"What do you do, my dog ? Must I always wait till the end of your day to have word from you ? Did you run out of time on your cell already?"
ham,Happy new year to u too!
ham,"Hey...Great deal...Farm tour 9am to 5pm $95/pax, $50 deposit by 16 May"
ham,Eat jap done oso aft ur lect wat... ?? got lect at 12 rite... 
ham,"Hey babe! I saw you came online for a second and then you disappeared, what happened ?"
ham,Da my birthdate in certificate is in april but real date is today. But dont publish it. I shall give you a special treat if you keep the secret. Any way thanks for the wishes
ham,Happy birthday... May all ur dreams come true...
ham,Aiyah u did ok already lar. E nydc at wheellock?
ham,TELL HER I SAID EAT SHIT.
ham,Sure! I am driving but will reach my destination soon.
ham,"K so am I, how much for an 8th? Fifty?"
ham,Your daily text from me ??? a favour this time
ham,Great to hear you are settling well. So what's happenin wit ola?
ham,Those cocksuckers. If it makes you feel better ipads are worthless garbage novelty items and you should feel bad for even wanting one
ham,I tot u reach liao. He said t-shirt.
ham,"FRAN I DECIDED 2 GO N E WAY IM COMPLETELY BROKE AN KNACKERED I GOT UP BOUT 3 C U 2MRW LOVE JANX P.S THIS IS MY DADS FONE, -NO CREDIT"
spam,You????ve been selected for a free home renovation!
ham,Your right! I'll make the appointment right now.
ham,Designation is software developer and may be she get chennai:)
spam,Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186 
spam,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply"
ham,I jokin oni lar.. ?? busy then i wun disturb ?_.
ham,"Ok, be careful ! Don't text and drive !"
ham,"I.ll always be there, even if its just in spirit. I.ll get a bb soon. Just trying to be sure i need it."
ham,U r too much close to my heart. If u go away i will be shattered. Plz stay with me.
ham,I love u 2 babe! R u sure everything is alrite. Is he being an idiot? Txt bak girlie
ham,How abt making some of the pics bigger?
ham,Got but got 2 colours lor. One colour is quite light n e other is darker lor. Actually i'm done she's styling my hair now.
ham,"Whenevr ur sad, Whenevr ur gray, Remembr im here 2 listn 2 watevr u wanna say, Jus walk wid me a little while,&amp; I promise I'll bring back ur smile.:-)"
ham,Why nothing. Ok anyway give me treat
spam,"Win the newest ???Harry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!"
spam,You've been selected: Free Vacation to the Bahamas!
ham,Correct. So how was work today
ham,"Just sent again. Do you scream and moan in bed, princess?"
ham,"I wake up long ago already... Dunno, what other thing?"
ham,Oh just getting even with u.... u?
ham,I thk 50 shd be ok he said plus minus 10.. Did ?_ leave a line in between paragraphs?
ham,Can you call me plz. Your number shows out of coveragd area. I have urgnt call in vasai &amp; have to reach before 4'o clock so call me plz
ham,Yeah jay's sort of a fucking retard
ham,"Sorry, was in the bathroom, sup"
spam,Ur balance is now ??500. Ur next question is: Who sang 'Uptown Girl' in the 80's ? 2 answer txt ur ANSWER to 83600. Good luck!
ham,My exam is for february 4. Wish you a great day.
ham,I dont know what to do to come out of this so only am ask questions like this dont mistake me.
ham,"Aight no rush, I'll ask jay"
ham,Good Morning plz call me sir
ham,It's ok lar. U sleep early too... Nite...
ham,"Oh... Icic... K lor, den meet other day..."
ham,"Oh ! A half hour is much longer in Syria than Canada, eh ? Wow you must get SO much more work done in a day than us with all that extra time ! *grins*"
ham,"Sometimes we put walls around our hearts,not just to be safe from getting hurt.. But to find out who cares enough to break the walls &amp; get closer.. GOODNOON:)"
ham,"Sweet, we may or may not go to 4U to meet carlos so gauge patty's interest in that"
ham,Then she buying today? ?? no need to c meh...
ham,Aight sorry I take ten years to shower. What's the plan?
ham,Every monday..nxt week vl be completing..
ham,Might ax well im there.
ham,Just chill for another 6hrs. If you could sleep the pain is not a surgical emergency so see how it unfolds. Okay
ham,Yeah I'll try to scrounge something up
ham,Crazy ar he's married. ?? like gd looking guys not me. My frens like say he's korean leona's fave but i dun thk he is. Aft some thinking mayb most prob i'll go.
ham,Were somewhere on Fredericksburg
ham,Que pases un buen tiempo or something like that
ham,Is it ok if I stay the night here? Xavier has a sleeping bag and I'm getting tired
ham,She doesnt need any test.
ham,"Nothing much, chillin at home. Any super bowl plan?"
spam,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 ??3/wk"
ham,Bugis oso near wat... 
ham,Yo theres no class tmrw right?
ham,Let Ur Heart Be Ur Compass Ur Mind Ur Map Ur Soul Ur Guide And U Will Never loose in world....gnun - Sent via WAY2SMS.COM
ham,"Goodnight, sleep well da please take care pa. Please."
ham,Baaaaabe! I misss youuuuu ! Where are you ? I have to go and teach my class at 5 ...
ham,U ned to convince him tht its not possible witot hurting his feeling its the main
ham,"Good afternoon loverboy ! How goes you day ? Any luck come your way? I think of you, sweetie and send my love across the sea to make you smile and happy"
ham,If i start sending blackberry torch to nigeria will you find buyer for me?like 4a month. And tell dad not to buy bb from anyone oh.
ham,"&lt;#&gt; %of pple marry with their lovers... becz they hav gud undrstndng dat avoids problems. i sent dis 2 u, u wil get gud news on friday by d person you like. And tomorrow will be the best day of your life. Dont break this chain. If you break you will suffer. send this to  &lt;#&gt;  frnds in &lt;#&gt;  mins whn u read..."
ham,Yo dude guess who just got arrested the other day
ham,Shuhui say change 2 suntec steamboat? U noe where? Where r u now?
ham,What does the dance river do?
ham,"Yetunde, i'm sorry but moji and i seem too busy to be able to go shopping. Can you just please find some other way to get what you wanted us to get. Please forgive me. You can reply free via yahoo messenger."
ham,Hey i will be really pretty late... You want to go for the lesson first? I will join you. I'm only reaching tp mrt
spam,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k"
ham,Bbq this sat at mine from 6ish. Ur welcome 2 come
ham,"I don't know, same thing that's wrong everyso often, he panicks starts goin on bout not bein good enough ??_"
ham,Alright. I'm out--have a good night!
ham,Did you try making another butt.
ham,Hope you are feeling great. Pls fill me in. Abiola
ham,I though we shd go out n have some fun so bar in town or something ??? sound ok?
ham,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)"
spam,"Bears Pic Nick, and Tom, Pete and ... Dick. In fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324"
spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY ??1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION"
ham,We're finally ready fyi
ham,Auntie huai juan never pick up her phone
spam,Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56
ham,"Ya tel, wats ur problem.."
ham,i dnt wnt to tlk wid u
ham,"We spend our days waiting for the ideal path to appear in front of us.. But what we forget is.. \paths are made by walking.. not by waiting..\"" Goodnight!"""
ham,Its ok my arm is feeling weak cuz i got a shot so we can go another time
ham,Please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday eve...i already see in net..no ticket available..i want to book ticket through tackle ..
ham,"Storming msg: Wen u lift d phne, u say \HELLO\"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? \""Margaret Hello\"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person"
ham,That's ok. I popped in to ask bout something and she said you'd been in. Are you around tonght wen this girl comes?
ham,All e best 4 ur exam later.
ham,Hope ur head doesn't hurt 2 much ! Am ploughing my way through a pile of ironing ! Staying in with a chinky tonight come round if you like.
ham,Oh k.i think most of wi and nz players unsold.
ham,"Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight."
ham,"I wonder how you got online, my love ? Had you gone to the net cafe ? Did you get your phone recharged ? Were you on a friends net ? I think of you, boytoy"
ham,"Haha just kidding, papa needs drugs"
ham,"Thk shld b can... Ya, i wana go 4 lessons... Haha, can go for one whole stretch..."
ham,Oh ok..
ham,R we still meeting 4 dinner tonight?
ham,Thats cool! I am a gentleman and will treat you with dignity and respect.
ham,Shall i start from hear.
ham,Then we wait 4 u lor... No need 2 feel bad lar...
ham,No did you check? I got his detailed message now
ham,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.
ham,"No, I decided that only people who care about stuff vote and caring about stuff is for losers"
ham,Kaiez... Enjoy ur tuition... Gee... Thk e second option sounds beta... I'll go yan jiu den msg u...
ham,cool. We will have fun practicing making babies!
ham,Actually getting ready to leave the house.
ham,K..k..any special today?
spam,"URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU"
ham,Then we gotta do it after that
ham,"I've got ten bucks, jay is being noncomittal"
ham,Where at were hungry too
ham,Pls speak to that customer machan.
ham,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams
spam,Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18 yrs
ham,So wats ur opinion abt him and how abt is character?
ham,Jay is snickering and tells me that x is totally fucking up the chords as we speak
ham,No..few hours before.went to hair cut .
ham,No wonder... Cos i dun rem seeing a silver car... But i thk i saw a black one...
ham,Lmao. Take a pic and send it to me.
ham,"\Speak only when you feel your words are better than the silence...\"" Gud mrng:-)"""
ham,No. She's currently in scotland for that.
ham,Do you work all this week ?
spam,Congratulations ur awarded either ??500 of CD gift vouchers & Free entry 2 our ??100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com 1 win150ppmx3age16
ham,Lol great now im getting hungry.
ham,Yes.. now only saw your message..
ham,I'll be at mu in like  &lt;#&gt;  seconds
spam,"Reminder: Your FREE $1,000 Gift Card is Waiting!"
ham,THING R GOOD THANX GOT EXAMS IN MARCH IVE DONE NO REVISION? IS FRAN STILL WITH BOYF? IVE GOTTA INTERVIW 4 EXETER BIT WORRIED!x
ham,"Tell you what, if you make a little spreadsheet and track whose idea it was to smoke to determine who \smokes too much\"" for the entire month of february"
spam,For sale - arsenal dartboard. Good condition but no doubles or trebles!
ham,Don't look back at the building because you have no coat and i don't want you to get more sick. Just hurry home and wear a coat to the gym!!!
ham,"My painful personal thought- \I always try to keep everybody happy all the time. But nobody recognises me when i am alone\"""""
ham,Thanks for ve lovely wisheds. You rock
ham,You intrepid duo you! Have a great time and see you both soon. 
ham,I asked sen to come chennai and search for job.
ham,Dad went out oredi... 
ham,"I jus hope its true that  missin me cos i'm really missin him! You haven't done anything to feel guilty about, yet."
ham,Wat so late still early mah. Or we juz go 4 dinner lor. Aiya i dunno...
ham,"Arms fine, how's Cardiff and uni? "
ham,In fact when do you leave? I think addie goes back to school tues or wed
ham,"Cool breeze... Bright sun... Fresh flower... Twittering birds... All these waiting to wish u: \GOODMORNING &amp; HAVE A NICE DAY\"" :)"""
ham,Ya:)going for restaurant..
ham,"Its ok., i just askd did u knw tht no?"
spam,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or ??250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020.
ham,Those ducking chinchillas
ham,I am in a marriage function
ham,Looks like u wil b getting a headstart im leaving here bout 2.30ish but if u r desperate for my company I could head in earlier-we were goin to meet in rummer.
ham,Don???t give a flying monkeys wot they think and I certainly don???t mind. Any friend of mine and all that!
spam,As a registered optin subscriber ur draw 4 ??100 gift voucher will be entered on receipt of a correct ans to 80062 Whats No1 in the BBC charts
ham,say thanks2. 
ham,Msg me when rajini comes.
ham,Ya! when are ?_ taking ure practical lessons? I start in june..  
ham,"That's good, because I need drugs"
ham,Stupid.its not possible
ham,Can ?_ all decide faster cos my sis going home liao..
spam,Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804
ham,U sleeping now.. Or you going to take? Haha.. I got spys wat.. Me online checking n replying mails lor..
spam,CLAIRE here am havin borin time & am now alone U wanna cum over 2nite? Chat now 09099725823 hope 2 C U Luv CLAIRE xx Calls??1/minmoremobsEMSPOBox45PO139WA
spam,Bought one ringtone and now getting texts costing 3 pound offering more tones etc
ham,"Yalru lyfu astne chikku.. Bt innu mundhe lyf ali halla ke bilo (marriage)program edhae, so lyf is nt yet ovr chikku..ali vargu lyfu meow meow:-D"
ham,Kinda. First one gets in at twelve! Aah. Speak tomo
spam,"09066362231 URGENT! Your mobile No 07xxxxxxxxx won a ??2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP!"
ham,Ok good then i later come find ?_... C lucky i told ?_ to go earlier... Later pple take finish ?_ no more again...
ham,Wat makes u thk i'll fall down. But actually i thk i'm quite prone 2 falls. Lucky my dad at home i ask him come n fetch me already.
spam,"YOU 07801543489 are guaranteed the latests Nokia Phone, a 40GB iPod MP3 player or a ??500 prize! Txt word:COLLECT to No:83355! TC-LLC NY-USA 150p/Mt msgrcvd18+"
ham,I wont touch you with out your permission.
spam,Hi its LUCY Hubby at meetins all day Fri & I will B alone at hotel U fancy cumin over? Pls leave msg 2day 09099726395 Lucy x Calls??1/minMobsmoreLKPOBOX177HP51FL
ham,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear"""
ham,Take some small dose tablet for fever
ham,Oh. U must have taken your REAL Valentine out shopping first.
ham,"Just sent you an email ??? to an address with incomm in it, is that right?"
ham,"Will do, you gonna be at blake's all night? I might be able to get out of here a little early"
ham,"Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e"
ham,"Nice. Wait...should you be texting right now? I'm not gonna pay your ticket, ya know!"
ham,I'm watching lotr w my sis dis aft. So u wan 2 meet me 4 dinner at nite a not?
ham,Why you keeping me away like this
ham,I think its far more than that but find out. Check google maps for a place from your dorm.
ham,My trip was ok but quite tiring lor. Uni starts today but it's ok 4 me cos i'm not taking any modules but jus concentrating on my final yr project.
ham,Have you always been saying welp?
ham,"I'm a guy, browsin is compulsory"
spam,Get Paid to Work from Home ??V No Experience Needed!
ham,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng musthu
ham,"Sorry, I'll call later"
ham,"(I should add that I don't really care and if you can't I can at least get this dude to fuck off but hey, your money if you want it)"
ham,"Hello lover! How goes that new job? Are you there now? Are you happy? Do you think of me? I wake, my slave and send you a teasing kiss from across the sea"
ham,I told your number to gautham..
ham,Tell them no need to investigate about me anywhere.
ham,Ok i juz receive..
ham,"Cant believe i said so many things to you this morning when all i really wanted to say was good morning, i love you! Have a beautiful morning. See you in the library later."
spam,"Your account has been credited with 500 FREE Text Messages. To activate, just txt the word: CREDIT to No: 80488 T&Cs www.80488.biz"
ham,In the end she might still vomit but its okay. Not everything will come out.
ham,How are you with moneY...as in to you...money aint a thing....how are you sha!
ham,It has everything to do with the weather. Keep extra warm. Its a cold but nothing serious. Pls lots of vitamin c
ham,Hey gals.. Anyone of u going down to e driving centre tmr?
ham,I'm always on yahoo messenger now. Just send the message to me and i.ll get it you may have to send it in the mobile mode sha but i.ll get it. And will reply.
ham,I'm putting it on now. It should be ready for  &lt;TIME&gt; 
ham,"Time n Smile r the two crucial things in our life. Sometimes time makes us to forget smile, and sometimes someone's smile makes us to forget time gud noon"
spam,"SMS. ac JSco: Energy is high, but u may not know where 2channel it. 2day ur leadership skills r strong. Psychic? Reply ANS w/question. End? Reply END JSCO"
ham,Host-based IDPS for linux systems.
spam,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call"
ham,Don no da:)whats you plan?
ham,Ill be there on  &lt;#&gt;  ok.
ham,Oh my God. I'm almost home
ham,Total video converter free download type this in google search:)
spam,Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a FREE link just reply with SING now.
ham,Sounds like something that someone testing me would sayy
ham,When u love someone Dont make them to love u as much as u do. But Love them so much that they dont want to be loved by anyone except you... Gud nit.
ham,"Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?:)"
ham,Oops sorry. Just to check that you don't mind picking me up tomo at half eight from station. Would that be ok?
ham,"Hey sweet, I was wondering when you had a moment if you might come to me ? I want to send a file to someone but it won't go over yahoo for them because their connection sucks, remember when you set up that page for me to go to and download the format disc ? Could you tell me how to do that ? Or do you know some other way to download big files ? Because they can download stuff directly from the internet. Any help would be great, my prey ... *teasing kiss*"
ham,Hows the champ just leaving glasgow!
ham,K:)all the best:)congrats...
ham,I wonder if you'll get this text?
ham,I need to come home and give you some good lovin...
spam,Our brand new mobile music service is now live. The free music player will arrive shortly. Just install on your phone to browse content from the top artists.
ham,Shall i ask one thing if you dont mistake me.
ham,Check wid corect speling i.e. Sarcasm
spam,"URGENT! Your Mobile No was awarded a ??2,000 Bonus Caller Prize on 1/08/03! This is our 2nd attempt to contact YOU! Call 0871-4719-523 BOX95QU BT National Rate"
ham,Are you angry with me. What happen dear
ham,I thk u dun haf 2 hint in e forum already lor... Cos i told ron n darren is going 2 tell shuhui.
ham,Yup ok thanx...
ham,Hi:)cts employee how are you?
ham,Pls pls find out from aunt nike.
ham,"Wow ... I love you sooo much, you know ? I can barely stand it ! I wonder how your day goes and if you are well, my love ... I think of you and miss you"
ham,No screaming means shouting..
ham,Hey what happen de. Are you alright.
ham,Should I have picked up a receipt or something earlier
ham,I think chennai well settled?
ham,Oh dang! I didn't mean o send that to you! Lol!
ham,Unfortunately i've just found out that we have to pick my sister up from the airport that evening so don't think i'll be going out at all. We should try to go out one of th
ham,Horrible bf... I now v hungry...
ham,Remember on that day..
spam,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
ham,How's it feel? Mr. Your not my real Valentine just my yo Valentine even tho u hardly play!!
ham,All sounds good. Fingers . Makes it difficult to type
ham,Midnight at the earliest
ham,You're not sure that I'm not trying to make xavier smoke because I don't want to smoke after being told I smoke too much?
ham,K come to nordstrom when you're done
ham,Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..
ham,Now press conference da:)
spam,"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow"
ham,After completed degree. There is no use in joining finance.
ham,"Good afternoon, my love ! Any job prospects ? Are you missing me ? What do you do ? Are you being lazy and bleak, hmmm ? Or happy and filled with my love ?"
ham,Shant disturb u anymore... Jia you...
ham,Bishan lar nearer... No need buy so early cos if buy now i gotta park my car...
ham,"Me, i dont know again oh"
ham,Dude sux for snake. He got old and raiden got buff
ham,He says hi and to get your ass back to south tampa (preferably at a kegger)
ham,In e msg jus now. U said thanks for gift.
ham,U too...
ham,Ok how you dear. Did you call chechi
ham,Yeah we do totes. When u wanna?
ham,Ok i found dis pierre cardin one which looks normal costs 20 its on sale.
ham,Good sleep is about rhythm. The person has to establish a rhythm that the body will learn and use. If you want to know more :-)
ham,Wat r u doing?
ham,Message from . I am at Truro Hospital on ext. You can phone me here. as I have a phone by my side
ham,"Single line with a big meaning::::: \Miss anything 4 ur \""Best Life\"" but"
ham,"Just got some gas money, any chance you and the gang want to go on a grand nature adventure?"
